2023-07-18 16:09:22.254 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'logAdviceAspect': Injection of resource dependencies failed; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'systemLogDAO': Injection of resource dependencies failed; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'systemLogMapper' defined in file [F:\MigrationToolkit\dbswitch-master\dbswitch-admin\target\classes\com\gitee\dbswitch\admin\mapper\SystemLogMapper.class]: Unsatisfied dependency expressed through bean property 'sqlSessionFactory'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'tk.mybatis.mapper.autoconfigure.MapperAutoConfiguration': Bean instantiation via constructor failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [tk.mybatis.mapper.autoconfigure.MapperAutoConfiguration$$EnhancerBySpringCGLIB$$3c33fb45]: Constructor threw exception; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'dbswitchConfig': Injection of autowired dependencies failed; nested exception is java.lang.IllegalArgumentException: Could not resolve placeholder 'APP_DRIVERS_PATH' in value "${APP_DRIVERS_PATH}"
2023-07-18 16:09:22.256 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-07-18 16:09:22.273 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2023-07-18 16:10:07.122 [main] INFO  c.g.dbswitch.admin.logback.LogbackAppenderRegister - Success add and initialize appender of logback for class：com.gitee.dbswitch.data.service.MigrationService
2023-07-18 16:10:07.125 [main] INFO  c.g.dbswitch.admin.logback.LogbackAppenderRegister - Success add and initialize appender of logback for class：com.gitee.dbswitch.data.handler.MigrationHandler
2023-07-18 16:10:07.128 [main] INFO  com.gitee.dbswitch.admin.AdminApplication - Starting AdminApplication on LAPTOP-K57H29U2 with PID 11208 (F:\MigrationToolkit\dbswitch-master\dbswitch-admin\target\classes started by 张忠振 in F:\MigrationToolkit)
2023-07-18 16:10:07.128 [main] INFO  com.gitee.dbswitch.admin.AdminApplication - No active profile set, falling back to default profiles: default
2023-07-18 16:10:07.993 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
